genes,baseID,symbol,average_foldchange,HNSC,LIHC,KIRP,Description,Protein Functions (ChatGPT),Disease & Drugs (ChatGPT),Biological Process (GO),Kinase Class (UniProt),Protein Function (Protein Atlas),Subcellular Location (Protein Atlas),Drug (DrugBank),"Canonical Pathways
","Hallmark Gene Sets
"
ENSG00000044446.12,ENSG00000044446,PHKA2,-0.872101982,-1.061477421,-0.721971411,-0.832857114,phosphorylase kinase regulatory subunit alpha 2,"PHKA2 is a gene that encodes the hepatic isoform of the alpha subunit of phosphorylase kinase, a polymer of 16 subunits that plays a role in glycogen metabolism. The alpha subunit has regulatory functions controlled by phosphorylation, while the gamma subunits contain the active site of the enzyme. Mutations in this gene can cause glycogen storage disease type 9A, also known as X-linked liver glycogenosis. The gene has alternatively spliced transcript variants, but their full-length nature has not been determined.","Glycogen storage disease type 9A, caused by mutations in the PHKA2 gene, is a rare X-linked disorder that affects glycogen metabolism in the liver. Patients with this disease have an impaired ability to break down glycogen into glucose, leading to an accumulation of glycogen in the liver and resulting in hepatomegaly, hypoglycemia, and elevated liver enzymes. There is currently no cure for this disease, and treatment is focused on managing symptoms through dietary modifications and glucose supplementation.

Targeted drug discovery efforts for glycogen storage disease type 9A are limited due to the rarity of the disease. However, there have been some preclinical studies exploring the use of gene therapy and enzyme replacement therapy as potential treatment options. In addition, there is ongoing research into the use of small molecule inhibitors of phosphorylase kinase as a potential therapeutic strategy.

There are currently no FDA-approved drugs specifically for the treatment of glycogen storage disease type 9A. However, some patients may benefit from the use of glucose supplementation or liver transplantation. In addition, there are several drugs on the market that are used to treat other types of glycogen storage diseases, such as alglucosidase alfa for Pompe disease and miglustat for Niemann-Pick disease type C. These drugs work by targeting specific enzymes involved in glycogen metabolism and have shown some success in improving symptoms and slowing disease progression.",GO:0005977 glycogen metabolic process;GO:0044042 glucan metabolic process;GO:0006112 energy reserve metabolic process,,Disease related genes; Predicted intracellular proteins; Human disease related genes:Congenital disorders of metabolism:Congenital disorders of carbohydrate metabolism,Nucleoplasm (Approved),,,(M5937)HALLMARK GLYCOLYSIS
ENSG00000010017.13,ENSG00000010017,RANBP9,-0.871656598,-1.198490302,-1.197602296,-0.218877195,RAN binding protein 9,"RANBP9 is a gene that encodes a protein that binds to RAN, a small GTP binding protein that is crucial for the movement of RNA and proteins through the nuclear pore complex. In addition to its interaction with RAN, the protein encoded by RANBP9 has been found to interact with several other proteins, including met proto-oncogene, homeodomain interacting protein kinase 2, androgen receptor, and cyclin-dependent kinase 11. This suggests that RANBP9 may play a role in various cellular processes, including cell growth and division, gene expression, and protein transport.","RANBP9 has been implicated in several diseases, including cancer, Alzheimer's disease, and schizophrenia. In cancer, RANBP9 has been shown to promote tumor growth and metastasis by regulating cell proliferation, migration, and invasion. Targeting RANBP9 has been proposed as a potential therapeutic strategy for cancer treatment. Several small molecule inhibitors of RANBP9 have been developed and tested in preclinical studies, showing promising results in reducing tumor growth and metastasis.

In Alzheimer's disease, RANBP9 has been found to interact with amyloid beta, a protein that forms plaques in the brain and is a hallmark of the disease. RANBP9 may play a role in the accumulation and toxicity of amyloid beta, making it a potential target for drug development. However, no drugs targeting RANBP9 in Alzheimer's disease have been approved yet.

In schizophrenia, RANBP9 has been identified as a potential biomarker for the disease. Studies have shown that RANBP9 expression is altered in the brains of patients with schizophrenia, suggesting that it may play a role in the pathogenesis of the disease. However, no drugs targeting RANBP9 in schizophrenia have been approved yet.

Overall, RANBP9 is a promising target for drug discovery efforts in cancer and other diseases, but more research is needed to fully understand its role in disease pathogenesis and to develop effective therapies.",GO:1902993 positive regulation of amyloid precursor protein catabolic process;GO:0007020 microtubule nucleation;GO:0046785 microtubule polymerization,,Predicted intracellular proteins,Nucleoplasm (Supported); Additional: Cytosol;Nuclear bodies,,(M58)PID AR PATHWAY; (M48)PID MET PATHWAY,(M5893)HALLMARK MITOTIC SPINDLE
ENSG00000265808.4,ENSG00000265808,SEC22B,-0.871235401,-1.378428156,-1.107676693,-0.127601354,"SEC22 homolog B, vesicle trafficking protein",SEC22B is a human gene that encodes a protein belonging to the SEC22 family of vesicle trafficking proteins. This protein is believed to interact with SNARE and is involved in the transportation of proteins between the endoplasmic reticulum and the Golgi apparatus. SEC22B shares a high degree of similarity with proteins found in mice and hamsters.,"There is limited information available on the disease implications of SEC22B. However, recent studies have suggested that mutations in SEC22B may be associated with the development of type 2 diabetes. Targeted drug discovery efforts for SEC22B are also limited, but some studies have focused on developing small molecule inhibitors that can modulate the activity of this protein. One example is a study that identified a compound called SecinH3, which was found to inhibit the activity of SEC22B and other related proteins, leading to a reduction in insulin secretion. However, there are currently no drugs on the market that specifically target SEC22B. Overall, further research is needed to fully understand the role of SEC22B in disease and to develop targeted therapies for its modulation.",GO:1902902 negative regulation of autophagosome assembly;GO:0016242 negative regulation of macroautophagy;GO:2000785 regulation of autophagosome assembly,,Predicted intracellular proteins,,,,(M5910)HALLMARK PROTEIN SECRETION
ENSG00000266412.5,ENSG00000266412,NCOA4,-0.870004362,-1.468915671,-0.851060271,-0.290037145,nuclear receptor coactivator 4,"NCOA4, or nuclear receptor coactivator 4, is a gene that encodes a protein that interacts with the androgen receptor to enhance its transcriptional activity. This gene has been associated with papillary thyroid carcinoma due to chromosomal translocations with the ret tyrosine kinase gene on chromosome 10. There are also pseudogenes present on chromosomes 4, 5, 10, and 14. Alternative spliced transcript variants have been described.","Research on NCOA4 has shown its involvement in various diseases, including cancer, metabolic disorders, and neurodegenerative diseases. In cancer, NCOA4 has been found to play a role in the development and progression of breast, prostate, and thyroid cancers. Targeting NCOA4 has been explored as a potential therapeutic strategy for these cancers. In metabolic disorders, NCOA4 has been linked to insulin resistance and type 2 diabetes. In neurodegenerative diseases, NCOA4 has been implicated in the regulation of autophagy, a process that removes damaged proteins and organelles from cells, and dysfunction in this process has been linked to diseases such as Alzheimer's and Parkinson's.

There have been efforts to develop drugs that target NCOA4. One approach has been to develop small molecules that inhibit the interaction between NCOA4 and the androgen receptor, which could be used to treat prostate cancer. Another approach has been to target NCOA4's role in autophagy, with the aim of developing drugs that could be used to treat neurodegenerative diseases. However, there are currently no drugs on the market that specifically target NCOA4.

Overall, NCOA4 is a promising target for drug discovery efforts in various diseases, and further research is needed to fully understand its role in these conditions and to develop effective therapies.",GO:0071394 cellular response to testosterone stimulus;GO:0071391 cellular response to estrogen stimulus;GO:0030520 estrogen receptor signaling pathway,,Disease related genes; Cancer-related genes:Mutational cancer driver genes; Human disease related genes:Cancers:Cancers of endocrine organs; Predicted intracellular proteins,Nucleoli (Approved); Additional: Cytosol;Golgi apparatus,,(M58)PID AR PATHWAY,(M5908)HALLMARK ANDROGEN RESPONSE; (M5945)HALLMARK HEME METABOLISM
ENSG00000166398.14,ENSG00000166398,GARRE1,-0.869331408,-1.150716443,-0.792496019,-0.664781763,granule associated Rac and RHOG effector 1,"GARRE1, or granule associated Rac and RHOG effector 1, is a human gene that plays a role in Rac protein signal transduction. It has been found to have CCR4-NOT complex binding activity and small GTPase binding activity. GARRE1 is located in P-body, a cellular structure involved in RNA metabolism.","There is currently limited information on the disease implications of GARRE1. However, studies have shown that it may play a role in cancer progression and metastasis. Targeted drug discovery efforts for GARRE1 are also limited, as it is not yet a well-characterized drug target. There are currently no drugs on the market that specifically target GARRE1. However, there are drugs that target the Rac protein signaling pathway, which GARRE1 is involved in. For example, the drug EHop-016 has been shown to inhibit Rac signaling and has potential as an anti-cancer therapy. Another drug, NSC23766, has also been shown to inhibit Rac signaling and has been studied as a potential treatment for various cancers.",GO:0016601 Rac protein signal transduction;GO:0007264 small GTPase-mediated signal transduction;GO:0141124 intracellular signaling cassette,,Predicted intracellular proteins,Nucleoplasm (Approved),,,
ENSG00000164190.19,ENSG00000164190,NIPBL,-0.869183207,-1.305937766,-0.806690014,-0.494921841,NIPBL cohesin loading factor,"The NIPBL gene is responsible for encoding a protein that plays a crucial role in sister chromatid cohesion, chromosome condensation, and DNA repair. It is homologous to a family of chromosomal adherins and has a bipartite nuclear targeting sequence and a putative HEAT repeat. Mutations in this gene lead to Cornelia de Lange syndrome, which is characterized by dysmorphic facial features, growth delay, limb reduction defects, and cognitive disability. The Drosophila protein facilitates enhancer-promoter communication of remote enhancers and plays a role in developmental regulation. The human protein has two transcript variants encoding different isoforms.","Cornelia de Lange syndrome (CdLS) is a rare genetic disorder caused by mutations in the NIPBL gene. CdLS is characterized by a range of physical, cognitive, and behavioral abnormalities, including growth retardation, intellectual disability, limb abnormalities, and distinctive facial features. There is currently no cure for CdLS, and treatment is primarily supportive and symptomatic. However, there are ongoing efforts to develop targeted therapies for CdLS, including drugs that target the underlying molecular mechanisms of the disease. One potential target is the cohesin complex, which is disrupted in CdLS. Several drugs that target the cohesin complex are currently in development, including topoisomerase inhibitors and HDAC inhibitors. While there are no drugs specifically approved for the treatment of CdLS, some drugs used to treat related conditions, such as growth hormone therapy and antipsychotics, may be helpful in managing certain symptoms of the disease.",GO:0035261 external genitalia morphogenesis;GO:0061010 gallbladder development;GO:0034086 maintenance of sister chromatid cohesion,,Disease related genes; Predicted intracellular proteins; Human disease related genes:Congenital malformations:Other congenital malformations,Nucleoplasm (Supported); Additional: Cytosol;Vesicles,,,(M5942)HALLMARK UV RESPONSE DN
ENSG00000124333.16,ENSG00000124333,VAMP7,-0.869157768,-1.300191495,-0.910643191,-0.396638619,vesicle associated membrane protein 7,VAMP7 is a gene that encodes a transmembrane protein belonging to the SNARE family. This protein is involved in the fusion of transport vesicles to their target membranes and is found in late endosomes and lysosomes. The gene has multiple transcript variants due to alternate splicing.,"Research has shown that VAMP7 plays a role in various diseases, including cancer, neurodegenerative disorders, and infectious diseases. In cancer, VAMP7 has been found to be overexpressed in several types of tumors, including breast, lung, and pancreatic cancer, and is associated with tumor growth and metastasis. Targeting VAMP7 has been explored as a potential therapeutic strategy for cancer treatment. In neurodegenerative disorders, VAMP7 has been implicated in the regulation of autophagy, a process that removes damaged proteins and organelles from cells, and dysfunction of this process has been linked to diseases such as Alzheimer's and Parkinson's. In infectious diseases, VAMP7 has been shown to be involved in the replication of viruses such as HIV and influenza. Several studies have explored the use of small molecule inhibitors and antibodies to target VAMP7 for therapeutic purposes. However, there are currently no drugs on the market that specifically target VAMP7.",GO:1903593 regulation of histamine secretion by mast cell;GO:1903595 positive regulation of histamine secretion by mast cell;GO:0002278 eosinophil activation involved in immune response,,Predicted intracellular proteins,Vesicles (Supported),,,(M5910)HALLMARK PROTEIN SECRETION
ENSG00000071537.14,ENSG00000071537,SEL1L,-0.867600723,-1.32193296,-0.797555112,-0.483314098,SEL1L adaptor subunit of SYVN1 ubiquitin ligase,SEL1L is a human gene that encodes a protein that is part of a complex responsible for removing misfolded proteins from the endoplasmic reticulum and degrading them in the cytosol. This process is known as retrotranslocation or dislocation and is carried out in a ubiquitin-dependent manner. The gene has multiple isoforms due to alternative splicing.,"Research on SEL1L has revealed its potential involvement in various diseases, including cancer, neurodegenerative disorders, and diabetes. In cancer, SEL1L has been found to play a role in the regulation of the unfolded protein response, which is important for tumor cell survival and growth. In neurodegenerative disorders, SEL1L has been linked to the accumulation of misfolded proteins, which is a hallmark of diseases such as Alzheimer's and Parkinson's. In diabetes, SEL1L has been shown to be involved in the regulation of insulin secretion.

Targeted drug discovery efforts for SEL1L are still in the early stages, but there is potential for the development of drugs that modulate its activity. One approach is to target the interaction between SEL1L and other proteins involved in the retrotranslocation process, such as Derlin-1. Another approach is to target the ubiquitin-dependent degradation pathway, which is essential for the removal of misfolded proteins.

Currently, there are no drugs on the market that specifically target SEL1L. However, there are drugs that indirectly affect its activity. For example, the proteasome inhibitor bortezomib, which is used to treat multiple myeloma, inhibits the degradation of misfolded proteins and can lead to their accumulation in the endoplasmic reticulum, where they are recognized by SEL1L and targeted for retrotranslocation. Additionally, the diabetes drug exenatide has been shown to increase the expression of SEL1L and improve insulin secretion in pancreatic beta cells.","GO:0030970 retrograde protein transport, ER to cytosol;GO:1903513 endoplasmic reticulum to cytosol transport;GO:0032527 protein exit from endoplasmic reticulum",,Transporters:Primary Active Transporters; Predicted intracellular proteins,,,,
ENSG00000168538.16,ENSG00000168538,TRAPPC11,-0.867410654,-1.331036119,-0.930704731,-0.340491112,trafficking protein particle complex subunit 11,"TRAPPC11 is a gene that encodes a subunit of the TRAPP tethering complex, which plays a role in intracellular vesicle trafficking. This particular subunit is involved in the early stages of transporting vesicles from the endoplasmic reticulum to the Golgi apparatus. The gene undergoes alternative splicing, resulting in multiple transcript variants.","There is limited information available on the disease implications of TRAPPC11 mutations. However, recent studies have suggested that mutations in TRAPPC11 may be associated with intellectual disability and developmental delay. Targeted drug discovery efforts for TRAPPC11 are also limited, as the function of this gene is not well understood. However, there have been some successful drugs on the market that target other subunits of the TRAPP complex, such as the small molecule inhibitor golgicide A, which targets the TRAPPC2 subunit and has been shown to inhibit vesicle trafficking and cell proliferation. Additionally, the drug brefeldin A, which targets the ARF1 protein involved in vesicle trafficking, has been used in research to study the function of the TRAPP complex. Further research is needed to fully understand the role of TRAPPC11 in disease and to develop targeted therapies.","GO:0045054 constitutive secretory pathway;GO:0061635 regulation of protein complex stability;GO:0048207 vesicle targeting, rough ER to cis-Golgi",,Disease related genes; Human disease related genes:Musculoskeletal diseases:Muscular diseases; Predicted intracellular proteins,Cytosol (Uncertain); Additional: Vesicles,,,
ENSG00000168438.15,ENSG00000168438,CDC40,-0.867383887,-0.87613118,-1.319849569,-0.406170913,cell division cycle 40,"CDC40, also known as cell division cycle 40, is a human gene that plays an essential role in the catalytic step II of pre-mRNA splicing. It is found in the spliceosome and contains seven WD repeats that facilitate protein-protein interactions. The protein encoded by CDC40 is similar to the yeast Prp17 protein, which is involved in pre-mRNA splicing and cell cycle progression. This suggests that CDC40 may also play a role in cell cycle progression. Overall, CDC40 is a crucial gene involved in pre-mRNA splicing and potentially other cellular processes.","There is limited information available on the disease implications of CDC40 mutations. However, studies have shown that mutations in other genes involved in pre-mRNA splicing can lead to various diseases, including cancer and neurodegenerative disorders. Therefore, it is possible that mutations in CDC40 could also contribute to the development of these diseases.

As for targeted drug discovery efforts, there are currently no drugs specifically targeting CDC40. However, there are drugs that target other components of the spliceosome, such as spliceosome inhibitors used in cancer treatment. These drugs work by disrupting the splicing process, leading to cell death in cancer cells. Additionally, there are ongoing efforts to develop small molecule inhibitors of specific spliceosome components, which could potentially be used to treat diseases caused by splicing defects.

One example of a successful drug targeting the spliceosome is Spliceostatin A, which was discovered in a marine sponge and inhibits the splicing of specific genes. It has shown promising results in preclinical studies for the treatment of various cancers, including leukemia and breast cancer. Another example is H3B-8800, a small molecule inhibitor of the spliceosome component SF3B1, which is currently in clinical trials for the treatment of myelodysplastic syndromes and other hematological malignancies.","GO:1990403 embryonic brain development;GO:0000377 RNA splicing, via transesterification reactions with bulged adenosine as nucleophile;GO:0000398 mRNA splicing, via spliceosome",,Disease related genes; Human disease related genes:Congenital malformations:Congenital malformations of the nervous system; Predicted intracellular proteins,Nucleoplasm (Supported),,,
ENSG00000113580.15,ENSG00000113580,NR3C1,-0.866850861,-0.69602937,-0.743643336,-1.160879877,nuclear receptor subfamily 3 group C member 1,"NR3C1 is a gene that encodes the glucocorticoid receptor, which acts as a transcription factor by binding to glucocorticoid response elements in the promoters of glucocorticoid responsive genes to activate their transcription. It is also involved in regulating other transcription factors. The receptor is typically found in the cytoplasm but is transported into the nucleus upon ligand binding. NR3C1 is involved in inflammatory responses, cellular proliferation, and differentiation in target tissues. Mutations in this gene are associated with generalized glucocorticoid resistance. Alternative splicing of this gene results in transcript variants encoding either the same or different isoforms, which display diverse cytoplasm-to-nucleus trafficking patterns and distinct transcriptional activities.","Mutations in NR3C1 have been associated with a rare genetic disorder called generalized glucocorticoid resistance, which is characterized by a reduced sensitivity to glucocorticoid hormones. This condition can lead to a variety of symptoms, including growth retardation, delayed puberty, and immune dysfunction. Targeted drug discovery efforts have focused on developing compounds that can modulate the activity of the glucocorticoid receptor, either by enhancing or inhibiting its function. Several drugs that target NR3C1 are currently on the market, including glucocorticoids such as prednisone and dexamethasone, which are used to treat a variety of inflammatory and autoimmune disorders. Other drugs, such as mifepristone, have been developed to block the activity of the glucocorticoid receptor and are being investigated for their potential use in treating conditions such as Cushing's syndrome and certain types of cancer.",GO:0043402 glucocorticoid mediated signaling pathway;GO:0042921 nuclear receptor-mediated glucocorticoid signaling pathway;GO:0031958 nuclear receptor-mediated corticosteroid signaling pathway,,Predicted intracellular proteins; Nuclear receptors; Human disease related genes:Musculoskeletal diseases:Skeletal diseases; Human disease related genes:Endocrine and metabolic diseases:Adrenal gland diseases; FDA approved drug targets:Small molecule drugs; Disease related genes; Transcription factors:Zinc-coordinating DNA-binding domains,Cytosol;Nucleoplasm (Supported); Additional: Mitochondria,"Flunisolide; Diflorasone; Alclometasone; Medrysone; Amcinonide; Fluorometholone; Megestrol acetate; Levonorgestrel; Beclomethasone dipropionate; Progesterone; Spironolactone; Betamethasone; Desoximetasone; Fluticasone propionate; Fluocinolone acetonide; Ulobetasol; Triamcinolone; Prednisone; Flumethasone; Fludrocortisone; Norethisterone; Hydrocortisone; Mometasone; Hydrocortamate; Mifepristone; Clocortolone; Flurandrenolide; Prednisolone; Loteprednol etabonate; Rimexolone; Methylprednisolone; Clobetasol propionate; Fluocinonide; Prednicarbate; Fluoxymesterone; Budesonide; Dexamethasone; Desonide; Cortisone acetate; Paramethasone; Drospirenone; Ciclesonide; Hexane-1,6-Diol; Aldosterone; ORG-34517; Difluprednate; Ulipristal; Fluticasone furoate; Tixocortol; Difluocortolone; Gestrinone; Deflazacort; Onapristone; Cortivazol; Clobetasone; Fluticasone; Mometasone furoate; Hydrocortisone aceponate; Hydrocortisone acetate; Hydrocortisone butyrate; Hydrocortisone cypionate; Hydrocortisone phosphate; Hydrocortisone probutate; Hydrocortisone valerate; Segesterone acetate; Prednisolone phosphate; Dexamethasone acetate; Betamethasone phosphate; Prednisolone acetate",(M30)PID HDAC CLASSII PATHWAY; (M106)PID HNF3B PATHWAY; (M151)PID AR TF PATHWAY,(M5942)HALLMARK UV RESPONSE DN; (M5891)HALLMARK HYPOXIA; (M5945)HALLMARK HEME METABOLISM
ENSG00000061676.15,ENSG00000061676,NCKAP1,-0.866186518,-1.004292385,-0.992926925,-0.601340245,NCK associated protein 1,"NCKAP1, also known as NCK associated protein 1, is a gene that contributes to small GTPase binding activity and is involved in Rac protein signal transduction. It positively regulates Arp2/3 complex-mediated actin nucleation and lamellipodium assembly. NCKAP1 is located in extracellular exosome and focal adhesion and is part of the SCAR complex.","There is limited information available on the disease implications of NCKAP1. However, studies have shown that dysregulation of Rac protein signal transduction and actin nucleation can contribute to cancer metastasis and invasion. Therefore, NCKAP1 may play a role in cancer progression and could be a potential target for cancer therapy. 

There are currently no targeted drug discovery efforts specifically focused on NCKAP1. However, drugs that target the Rac signaling pathway and actin nucleation have been developed and are used in cancer treatment. For example, the drug paclitaxel stabilizes microtubules and disrupts the balance between microtubules and actin filaments, leading to cell death. Another drug, Y-27632, inhibits the Rho-associated protein kinase (ROCK) pathway, which is involved in actin cytoskeleton organization and cell migration. 

In summary, while there is limited information on the disease implications of NCKAP1, its involvement in Rac signaling and actin nucleation suggests it may play a role in cancer progression. While there are no targeted drug discovery efforts focused on NCKAP1, drugs that target the Rac signaling pathway and actin nucleation have been developed and are used in cancer treatment.",GO:2000601 positive regulation of Arp2/3 complex-mediated actin nucleation;GO:0051127 positive regulation of actin nucleation;GO:0016601 Rac protein signal transduction,,,Cytosol (Approved),,(M156)PID ECADHERIN NASCENT AJ PATHWAY; (M232)PID ECADHERIN STABILIZATION PATHWAY; (M278)PID RAC1 PATHWAY,
ENSG00000117475.14,ENSG00000117475,BLZF1,-0.864572403,-1.208381124,-0.978254545,-0.407081541,basic leucine zipper nuclear factor 1,"BLZF1, also known as basic leucine zipper nuclear factor 1, is a human gene that encodes a protein with ubiquitin protein ligase binding activity. It plays a role in Golgi organization and Golgi to plasma membrane protein transport, and is located in the Golgi apparatus and nucleoplasm. BLZF1 is also a biomarker of hepatocellular carcinoma, a type of liver cancer. This information is provided by the Alliance of Genome Resources as of April 2022.","There is limited information available on the disease implications of BLZF1. However, studies have shown that BLZF1 is overexpressed in hepatocellular carcinoma (HCC), a type of liver cancer, and may serve as a biomarker for HCC diagnosis and prognosis. Targeted drug discovery efforts for BLZF1 are also limited, as the function of the protein is not well understood. However, some studies have suggested that BLZF1 may play a role in cancer progression and metastasis, making it a potential target for cancer therapy. Currently, there are no drugs on the market that specifically target BLZF1. However, there are several drugs that have been approved for the treatment of HCC, including sorafenib, lenvatinib, and regorafenib, which target various signaling pathways involved in cancer growth and progression.",GO:0043001 Golgi to plasma membrane protein transport;GO:0061951 establishment of protein localization to plasma membrane;GO:0006893 Golgi to plasma membrane transport,,Predicted intracellular proteins,Golgi apparatus (Supported); Additional: Nucleoplasm,,,
ENSG00000095139.14,ENSG00000095139,ARCN1,-0.864533534,-1.44605239,-0.793057244,-0.354490967,archain 1,"ARCN1, also known as archain 1, is a gene that is located in a region where multiple disease-associated chromosome translocations occur. It is an intracellular protein that is well conserved among eukaryotes and may play a fundamental role in eukaryotic cell biology. ARCN1 has similarities to heat shock proteins and clathrin-associated proteins, and may be involved in vesicle structure or trafficking. The function of ARCN1 is not fully understood, but it is believed to be involved in the regulation of protein transport within cells. Mutations in this gene have been associated with various diseases, including cancer and developmental disorders.","Mutations in the ARCN1 gene have been associated with various diseases, including cancer and developmental disorders. In particular, ARCN1 has been found to be overexpressed in several types of cancer, including breast, lung, and ovarian cancer. Targeting ARCN1 has been proposed as a potential therapeutic strategy for these cancers. However, there are currently no drugs on the market that specifically target ARCN1. 

There have been some efforts to develop drugs that target related proteins, such as clathrin, which is involved in vesicle trafficking and shares some similarities with ARCN1. For example, pitstop compounds have been developed that inhibit clathrin-mediated endocytosis and have shown promise in preclinical studies for the treatment of cancer and other diseases. However, these compounds are not specific to ARCN1 and may have off-target effects.

Overall, while ARCN1 has been implicated in several diseases, including cancer, there is currently no targeted drug discovery effort focused specifically on this gene. Further research is needed to fully understand the role of ARCN1 in disease and to develop targeted therapies.",GO:0021691 cerebellar Purkinje cell layer maturation;GO:0021590 cerebellum maturation;GO:0021699 cerebellar cortex maturation,,Disease related genes; Predicted intracellular proteins; Human disease related genes:Congenital malformations:Other congenital malformations,Vesicles (Approved); Additional: Cytosol;Golgi apparatus,,,(M5910)HALLMARK PROTEIN SECRETION
ENSG00000177426.22,ENSG00000177426,TGIF1,-0.864402526,-1.400051984,-0.817236964,-0.37591863,TGFB induced factor homeobox 1,"TGIF1 is a gene that encodes a transcription regulator protein belonging to the TALE superclass of atypical homeodomains. This protein binds to a retinoid X receptor responsive element and acts as a transcriptional co-repressor of SMAD2. It is involved in the transmission of nuclear signals during development and in the adult. Mutations in this gene are associated with holoprosencephaly type 4, a structural anomaly of the brain. Alternative splicing has been observed, resulting in multiple splice variants encoding distinct isoforms.","Mutations in the TGIF1 gene have been associated with holoprosencephaly type 4, a rare genetic disorder characterized by incomplete separation of the embryonic forebrain into two hemispheres. This can result in a range of neurological and developmental abnormalities, including intellectual disability, facial deformities, and seizures. There are currently no targeted drug discovery efforts specifically focused on TGIF1, but research into the underlying mechanisms of holoprosencephaly may lead to new therapeutic approaches.

There are currently no drugs on the market that specifically target TGIF1, but there are several drugs that have been approved for the treatment of holoprosencephaly-related symptoms. For example, anticonvulsant medications such as valproic acid and carbamazepine can be used to manage seizures, while growth hormone therapy may be used to address growth and developmental delays. Additionally, surgical interventions may be necessary to correct facial deformities or other structural abnormalities.",GO:0009410 response to xenobiotic stimulus;GO:0071363 cellular response to growth factor stimulus;GO:0070848 response to growth factor,,Predicted intracellular proteins; Transcription factors:Helix-turn-helix domains; Human disease related genes:Congenital malformations:Congenital malformations of the nervous system; Disease related genes; Cancer-related genes:Mutational cancer driver genes,Nucleoplasm (Supported),,(M58)PID AR PATHWAY; (M2)PID SMAD2 3NUCLEAR PATHWAY,(M5896)HALLMARK TGF BETA SIGNALING; (M5890)HALLMARK TNFA SIGNALING VIA NFKB
ENSG00000205060.11,ENSG00000205060,SLC35B4,-0.863984288,-1.15855724,-0.81953255,-0.613863073,solute carrier family 35 member B4,"SLC35B4 is a gene that encodes for a glycosyltransferase, which is a protein that transports nucleotide sugars from the cytoplasm to the Golgi apparatus. These nucleotide sugars are used in the synthesis of glycoproteins, glycolipids, and proteoglycans. The function of SLC35B4 is important in the process of glycosylation, which is the addition of sugar molecules to proteins and lipids. Mutations in SLC35B4 have been associated with developmental disorders, such as intellectual disability and epilepsy.","There is limited information available on targeted drug discovery efforts for SLC35B4, as it is a relatively newly discovered gene. However, mutations in SLC35B4 have been associated with developmental disorders, such as intellectual disability and epilepsy. Therefore, there is potential for drug discovery efforts to target these conditions by modulating the function of SLC35B4. Currently, there are no drugs on the market that specifically target SLC35B4. However, there are drugs that target glycosylation pathways, which may indirectly affect the function of SLC35B4. For example, tunicamycin is a drug that inhibits the first step of N-linked glycosylation and is used in research to study the effects of glycosylation inhibition. Additionally, some cancer drugs, such as imatinib and erlotinib, target specific glycoproteins that are overexpressed in cancer cells.",GO:0015790 UDP-xylose transmembrane transport;GO:1990569 UDP-N-acetylglucosamine transmembrane transport;GO:0090481 pyrimidine nucleotide-sugar transmembrane transport,,Transporters:Electrochemical Potential-driven transporters,,,,
ENSG00000151239.14,ENSG00000151239,TWF1,-0.863843329,-1.244314535,-0.864436352,-0.482779099,twinfilin actin binding protein 1,"TWF1 is a gene that encodes for twinfilin, a protein that binds to actin monomers. This protein is found in organisms ranging from yeast to mammals. Research on the mouse version of this protein suggests that it may be involved in binding to actin monomers and its location in cortical G-actin-rich structures may be regulated by the small GTPase RAC1.","Research on TWF1 and its protein product twinfilin has suggested potential implications in various diseases, including cancer, Alzheimer's disease, and heart disease. In cancer, twinfilin has been shown to play a role in tumor cell migration and invasion, making it a potential target for cancer therapy. In Alzheimer's disease, twinfilin has been found to be involved in the formation of amyloid-beta plaques, which are a hallmark of the disease. In heart disease, twinfilin has been implicated in the regulation of cardiac contractility.

Targeted drug discovery efforts for TWF1 have focused on identifying small molecules that can inhibit the interaction between twinfilin and actin monomers. One example is the compound SMIFH2, which has been shown to disrupt the binding of twinfilin to actin and inhibit cell migration in vitro. Other potential drug targets include the small GTPase RAC1, which regulates the localization of twinfilin in cells.

Currently, there are no drugs on the market that specifically target TWF1 or twinfilin. However, there are drugs that indirectly affect the function of these proteins. For example, the cancer drug paclitaxel stabilizes microtubules, which indirectly affects the function of actin and may impact the interaction between twinfilin and actin. Additionally, the Alzheimer's drug memantine has been shown to reduce the formation of amyloid-beta plaques, which may indirectly affect the function of twinfilin.",GO:0042989 sequestering of actin monomers;GO:0030042 actin filament depolymerization;GO:0051016 barbed-end actin filament capping,,Disease related genes; Predicted intracellular proteins,Cytosol (Supported),,,
